"","sat","tothrs","hsize","hsrank","colgpa","athlete","female","white","black"
"250",1010,45,6.8,252,1.29,"FALSE","TRUE","TRUE","FALSE"
"251",1030,9,5.44,52,3.1099999,"FALSE","TRUE","TRUE","FALSE"
"252",1070,74,4.6,8,2.1199999,"FALSE","TRUE","TRUE","FALSE"
"253",900,54,3.11,17,2.72,"FALSE","TRUE","TRUE","FALSE"
"254",1030,28,4.49,33,2.8199999,"FALSE","FALSE","TRUE","FALSE"
"255",940,69,2.12,7,3.1099999,"FALSE","TRUE","TRUE","FALSE"
"256",1020,41,4.4,61,2.46,"FALSE","FALSE","TRUE","FALSE"
"257",980,101,2.13,10,3.01,"FALSE","TRUE","TRUE","FALSE"
"258",1060,44,3.93,47,3.1800001,"FALSE","FALSE","TRUE","FALSE"
"259",1160,105,4.03,20,3.5,"FALSE","FALSE","TRUE","FALSE"
"260",1210,45,4.35,25,2.7,"FALSE","FALSE","TRUE","FALSE"
"261",1050,67,2.5,32,2.76,"FALSE","TRUE","TRUE","FALSE"
"262",1160,45,4.94,94,2.8800001,"FALSE","FALSE","TRUE","FALSE"
"263",850,108,1.73,26,3.6099999,"FALSE","TRUE","TRUE","FALSE"
"264",950,70,0.61,16,2.71,"FALSE","TRUE","TRUE","FALSE"
"265",940,44,4.28,47,2.4300001,"FALSE","TRUE","TRUE","FALSE"
"266",1040,106,4.01,42,3.2,"FALSE","TRUE","TRUE","FALSE"
"267",1090,16,3.94,24,3.02,"FALSE","FALSE","TRUE","FALSE"
"268",1210,76,4.48,6,4,"FALSE","FALSE","TRUE","FALSE"
"269",1100,74,1.24,1,3.2,"FALSE","TRUE","TRUE","FALSE"
"270",1180,106,3.21,167,1.8200001,"TRUE","FALSE","TRUE","FALSE"
"271",750,65,6.15,76,1.41,"FALSE","FALSE","FALSE","FALSE"
"272",1280,105,6.86,44,3.76,"FALSE","FALSE","TRUE","FALSE"
"273",940,44,0.1,6,2.6199999,"FALSE","FALSE","TRUE","FALSE"
"274",1010,43,0.79,12,1.9299999,"FALSE","TRUE","TRUE","FALSE"
"275",990,9,1.74,71,2.6900001,"FALSE","TRUE","TRUE","FALSE"
"276",990,44,3.61,86,1.5,"FALSE","FALSE","TRUE","FALSE"
"277",1010,115,2.74,21,3.1600001,"FALSE","TRUE","TRUE","FALSE"
"278",1130,103,2.15,20,3.1099999,"FALSE","TRUE","TRUE","FALSE"
"279",970,71,2.13,15,3.29,"FALSE","TRUE","TRUE","FALSE"
"280",1050,46,3.72,18,2.9400001,"FALSE","TRUE","TRUE","FALSE"
"281",1080,15,0.6,12,3.3099999,"FALSE","FALSE","TRUE","FALSE"
"282",1050,44,4.25,55,2.9300001,"FALSE","FALSE","TRUE","FALSE"
"283",1000,74,3.8,4,3.28,"FALSE","TRUE","TRUE","FALSE"
"284",1270,41,6.63,20,3.46,"FALSE","FALSE","TRUE","FALSE"
"285",1160,46,0.37,17,2.27,"FALSE","FALSE","TRUE","FALSE"
"286",930,11,3.6,123,1.5,"FALSE","TRUE","TRUE","FALSE"
"287",1010,105,4,57,2.3099999,"FALSE","FALSE","TRUE","FALSE"
"288",1010,44,3.6,9,3.6199999,"FALSE","TRUE","TRUE","FALSE"
"289",990,76,4,5,2.6900001,"FALSE","TRUE","TRUE","FALSE"
"290",540,117,5.77,402,1.91,"TRUE","FALSE","FALSE","TRUE"
"291",1050,69,4.96,104,2.53,"FALSE","FALSE","TRUE","FALSE"
"292",1150,107,4.58,10,3.6199999,"FALSE","TRUE","TRUE","FALSE"
"293",1050,106,4.12,21,2.9000001,"FALSE","FALSE","TRUE","FALSE"
"294",990,43,1.09,23,3.1300001,"FALSE","TRUE","TRUE","FALSE"
"295",1050,44,4.88,56,2.8699999,"FALSE","FALSE","TRUE","FALSE"
"296",1170,43,3.93,84,2.26,"FALSE","FALSE","TRUE","FALSE"
"297",930,67,6.04,27,3.48,"TRUE","TRUE","TRUE","FALSE"
"298",1000,46,4.47,80,2.4400001,"FALSE","FALSE","TRUE","FALSE"
"299",1020,45,3.3,12,3.1700001,"FALSE","TRUE","TRUE","FALSE"
"300",1160,112,3.5,10,3.0799999,"FALSE","TRUE","TRUE","FALSE"
"301",1130,46,4.67,6,3.3800001,"FALSE","TRUE","TRUE","FALSE"
"302",900,105,3.6,7,3.0599999,"FALSE","TRUE","TRUE","FALSE"
"303",870,103,3.6,11,2.75,"FALSE","TRUE","TRUE","FALSE"
"304",970,16,1.11,14,3.0599999,"FALSE","FALSE","FALSE","FALSE"
"305",1090,87,1.28,30,2.5999999,"FALSE","FALSE","TRUE","FALSE"
"306",1040,63,5.4,36,3.1700001,"FALSE","TRUE","TRUE","FALSE"
"307",1070,45,6.01,84,3.1700001,"FALSE","FALSE","TRUE","FALSE"
"308",810,68,5.2,214,2.3599999,"TRUE","FALSE","TRUE","FALSE"
"309",1200,42,6.31,43,3.21,"FALSE","FALSE","TRUE","FALSE"
"310",1020,106,5.05,17,3.5899999,"FALSE","TRUE","TRUE","FALSE"
"311",1230,12,4.4,45,2.8399999,"FALSE","TRUE","TRUE","FALSE"
"312",1040,13,7.5,220,2.98,"FALSE","TRUE","TRUE","FALSE"
"313",830,22,7.31,271,1.9,"FALSE","TRUE","TRUE","FALSE"
"314",1230,104,2.5,3,3.6500001,"FALSE","FALSE","TRUE","FALSE"
"315",1050,41,0.83,13,4,"FALSE","TRUE","TRUE","FALSE"
"316",910,74,3.7,116,2.3599999,"FALSE","TRUE","TRUE","FALSE"
"317",1070,68,3.7,42,3.52,"FALSE","TRUE","TRUE","FALSE"
"318",1050,33,3.7,30,2.5799999,"FALSE","TRUE","TRUE","FALSE"
"319",1110,103,3.21,23,3.5,"FALSE","FALSE","TRUE","FALSE"
"320",1170,14,7.9,65,2.72,"FALSE","TRUE","TRUE","FALSE"
"321",890,86,7,150,2.3499999,"FALSE","TRUE","TRUE","FALSE"
"322",720,108,4.25,147,2.26,"FALSE","TRUE","TRUE","FALSE"
"323",1170,43,1.44,29,3,"FALSE","FALSE","TRUE","FALSE"
"324",1140,99,3.54,8,2.8599999,"FALSE","FALSE","TRUE","FALSE"
"325",1200,106,4.8,38,2.55,"FALSE","TRUE","TRUE","FALSE"
"326",1010,41,4.03,35,2.3800001,"FALSE","TRUE","TRUE","FALSE"
"327",1330,70,3.03,1,4,"FALSE","TRUE","TRUE","FALSE"
"328",920,66,3.03,20,3.0699999,"FALSE","FALSE","TRUE","FALSE"
"329",1180,104,0.31,2,2.4100001,"FALSE","FALSE","TRUE","FALSE"
"330",1000,71,5.74,59,3.4200001,"FALSE","TRUE","TRUE","FALSE"
"331",1140,43,6.35,103,2.8599999,"FALSE","TRUE","TRUE","FALSE"
"332",1130,74,1.94,1,3.78,"FALSE","FALSE","TRUE","FALSE"
"333",1010,120,4.57,123,2.46,"TRUE","FALSE","TRUE","FALSE"
"334",930,74,2.88,197,1.88,"TRUE","FALSE","TRUE","FALSE"
"335",1110,113,2.91,30,2.3699999,"FALSE","TRUE","TRUE","FALSE"
"336",850,103,5.37,234,2.0699999,"TRUE","FALSE","TRUE","FALSE"
"337",1050,101,5.62,23,2.8800001,"FALSE","FALSE","FALSE","FALSE"
"338",1080,43,7.71,207,2.8,"FALSE","FALSE","TRUE","FALSE"
"339",1240,73,7.45,22,3.6500001,"FALSE","TRUE","TRUE","FALSE"
"340",1060,16,6.37,192,2.8699999,"FALSE","TRUE","TRUE","FALSE"
"341",1160,123,6.37,101,3.47,"TRUE","TRUE","TRUE","FALSE"
"342",970,24,6.37,65,2.8299999,"FALSE","TRUE","TRUE","FALSE"
"343",1100,67,7.45,218,2.6500001,"FALSE","FALSE","TRUE","FALSE"
